id;demandaId;demandaTitulo;empresa;profissionalId;profissional;compatibilidade;criterios;mensagem;acervo;situacao;data
cand-0001;2026-118;SPDA e aterramento;Daniel Tec;prof-043;"{""nome"": ""Marcelo Castro Santana"", ""iniciais"": ""MS"", ""cor"": ""avatar-ambar"", ""titulo"": ""Engenheiro eletricista"", ""registro"": ""CREA-RO 043895/D"", ""cidade"": ""Porto Velho"", ""uf"": ""RO"", ""nota"": 4.3, ""avaliacoes"": 2, ""verificado"": true, ""competencias"": [""Laudo de instalações elétricas"", ""Subestação"", ""SPDA"", ""Automação predial""]}";83;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Elétrica, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 30, ""detalhe"": ""4 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""A obra fica em Manaus, fora da sua região de atendimento.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 13, ""detalhe"": ""Média 4,3 em 2 avaliações de contratos registrados.""}]";Já trabalhei com esse tipo de serviço em 2025, com ART registrada.;[];enviada;22/09/2026
cand-0002;2026-118;SPDA e aterramento;Daniel Tec;prof-037;"{""nome"": ""Caio Souza Farias"", ""iniciais"": ""CF"", ""cor"": ""avatar-verde"", ""titulo"": ""Engenheiro eletricista"", ""registro"": ""CREA-AM 030522/D"", ""cidade"": ""Humaitá"", ""uf"": ""AM"", ""nota"": 4.2, ""avaliacoes"": 15, ""verificado"": true, ""competencias"": [""Automação predial"", ""Energia solar fotovoltaica"", ""Eficiência energética"", ""Montagem industrial""]}";83;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Elétrica, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 30, ""detalhe"": ""4 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""A obra fica em Manaus, fora da sua região de atendimento.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 13, ""detalhe"": ""Média 4,2 em 15 avaliações de contratos registrados.""}]";Tenho interesse e posso visitar o local nesta semana.;[];visualizada;23/09/2026
cand-0003;2026-118;SPDA e aterramento;Daniel Tec;prof-060;"{""nome"": ""Aline Menezes Cardoso"", ""iniciais"": ""AC"", ""cor"": ""avatar-verde"", ""titulo"": ""Engenheira eletricista"", ""registro"": ""CREA-AM 021355/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 4.6, ""avaliacoes"": 15, ""verificado"": true, ""competencias"": [""Automação predial"", ""Projeto elétrico"", ""Subestação""]}";79;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Elétrica, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 10, ""detalhe"": ""1 documento confirmado na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 14, ""detalhe"": ""Média 4,6 em 15 avaliações de contratos registrados.""}]";Tenho interesse e posso visitar o local nesta semana.;[];visualizada;23/09/2026
cand-0004;2026-118;SPDA e aterramento;Daniel Tec;prof-032;"{""nome"": ""Leonardo Santana Cardoso"", ""iniciais"": ""LC"", ""cor"": """", ""titulo"": ""Engenheiro civil"", ""registro"": ""CREA-AM 048033/D"", ""cidade"": ""Tefé"", ""uf"": ""AM"", ""nota"": 4.8, ""avaliacoes"": 12, ""verificado"": true, ""competencias"": [""Compatibilização de projetos"", ""Revit"", ""Planejamento de obra"", ""Laudo de instalações elétricas""]}";74;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Elétrica, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 20, ""detalhe"": ""2 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""A obra fica em Manaus, fora da sua região de atendimento.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 14, ""detalhe"": ""Média 4,8 em 12 avaliações de contratos registrados.""}]";Já trabalhei com esse tipo de serviço em 2025, com ART registrada.;[];enviada;24/09/2026
cand-0005;2026-118;SPDA e aterramento;Daniel Tec;prof-002;"{""nome"": ""Ana Beatriz Farias"", ""iniciais"": ""AB"", ""cor"": ""avatar-roxo"", ""titulo"": ""Engenheira eletricista"", ""registro"": ""CREA-AM 028114/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 4.9, ""avaliacoes"": 31, ""verificado"": true, ""competencias"": [""SPDA"", ""Projeto elétrico"", ""Subestação""]}";100;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Elétrica, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 30, ""detalhe"": ""5 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Média 4,9 em 31 avaliações de contratos registrados.""}]";Tenho acervo em obra semelhante e disponibilidade imediata.;[];recusada;24/09/2026
cand-0006;2026-118;SPDA e aterramento;Daniel Tec;prof-023;"{""nome"": ""Leonardo Almeida Cardoso"", ""iniciais"": ""L"", ""cor"": ""avatar-verde"", ""titulo"": ""Engenheiro ambiental"", ""registro"": ""CREA-AM 023524/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 4.9, ""avaliacoes"": 4, ""verificado"": true, ""competencias"": [""Licenciamento"", ""Monitoramento ambiental"", ""Estudos de impacto"", ""PGRS""]}";30;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 0, ""detalhe"": ""A demanda exige Elétrica, fora das suas áreas.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 0, ""detalhe"": ""Nenhuma ART ou CAT confirmada nessa área.""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Média 4,9 em 4 avaliações de contratos registrados.""}]";Tenho interesse e posso visitar o local nesta semana.;[];recusada;24/09/2026
cand-0007;2026-119;Recuperação de área degradada;Daniel Tec;prof-014;"{""nome"": ""Yasmin Ferreira Dias"", ""iniciais"": ""YD"", ""cor"": ""avatar-ambar"", ""titulo"": ""Geóloga"", ""registro"": ""CREA-AM 036977/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 0, ""avaliacoes"": 0, ""verificado"": true, ""competencias"": [""Contenções"", ""Hidrogeologia"", ""Licenciamento""]}";75;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Ambiental, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 20, ""detalhe"": ""2 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""Ainda sem avaliações na plataforma.""}]";Tenho acervo em obra semelhante e disponibilidade imediata.;[];conversa;20/09/2026
cand-0008;2026-119;Recuperação de área degradada;Daniel Tec;prof-003;"{""nome"": ""Lucas Martins"", ""iniciais"": ""LM"", ""cor"": ""avatar-verde"", ""titulo"": ""Engenheiro ambiental"", ""registro"": ""CREA-AM 034720/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 4.6, ""avaliacoes"": 12, ""verificado"": true, ""competencias"": [""Licenciamento"", ""Estudos de impacto""]}";99;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Ambiental, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 30, ""detalhe"": ""3 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 14, ""detalhe"": ""Média 4,6 em 12 avaliações de contratos registrados.""}]";Tenho acervo em obra semelhante e disponibilidade imediata.;[];enviada;22/09/2026
cand-0009;2026-119;Recuperação de área degradada;Daniel Tec;prof-023;"{""nome"": ""Leonardo Almeida Cardoso"", ""iniciais"": ""L"", ""cor"": ""avatar-verde"", ""titulo"": ""Engenheiro ambiental"", ""registro"": ""CREA-AM 023524/D"", ""cidade"": ""Manaus"", ""uf"": ""AM"", ""nota"": 4.9, ""avaliacoes"": 4, ""verificado"": true, ""competencias"": [""Licenciamento"", ""Monitoramento ambiental"", ""Estudos de impacto"", ""PGRS""]}";90;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Ambiental, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 20, ""detalhe"": ""2 documentos confirmados na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Você atende Manaus, onde fica a obra.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 15, ""detalhe"": ""Média 4,9 em 4 avaliações de contratos registrados.""}]";Atuo na região e tenho equipe para começar no prazo.;[];enviada;24/09/2026
cand-0010;2026-119;Recuperação de área degradada;Daniel Tec;prof-042;"{""nome"": ""Otávio Castro Silva"", ""iniciais"": ""OS"", ""cor"": ""avatar-ambar"", ""titulo"": ""Engenheiro civil"", ""registro"": ""CREA-AM 030154/D"", ""cidade"": ""Iranduba"", ""uf"": ""AM"", ""nota"": 4.6, ""avaliacoes"": 2, ""verificado"": true, ""competencias"": [""Revit"", ""Compatibilização de projetos"", ""Licenciamento""]}";64;"[{""rotulo"": ""Área de atuação"", ""peso"": 40, ""pontos"": 40, ""detalhe"": ""Você atua em Ambiental, que é o que a demanda exige.""}, {""rotulo"": ""Acervo confirmado no Crea"", ""peso"": 30, ""pontos"": 10, ""detalhe"": ""1 documento confirmado na área da demanda (ponto cheio a partir de 3).""}, {""rotulo"": ""Localização"", ""peso"": 15, ""pontos"": 0, ""detalhe"": ""A obra fica em Manaus, fora da sua região de atendimento.""}, {""rotulo"": ""Avaliações recebidas"", ""peso"": 15, ""pontos"": 14, ""detalhe"": ""Média 4,6 em 2 avaliações de contratos registrados.""}]";Tenho acervo em obra semelhante e disponibilidade imediata.;[];enviada;23/09/2026
