id;tipoConta;nome;email;documento;registro;ufRegistro;rnp;rne;titulo;situacao;cidadeExibicao;sobre;verificado;identidadeVerificada;primeiroAcesso;demonstracao;profissionalId;criadoEm;extras
u-prof-demo;profissional;Daniel Silva do Carmo;daniel.carmo@exemplo.com;987.654.321-00;0987654321;AM;2610987654;;Engenheiro civil;Ativo;Manaus, AM;Engenheiro civil com atuação em projeto estrutural e fiscalização de obra no Amazonas. Experiência em concreto armado, fundações profundas e laudos técnicos.;sim;;nao;sim;prof-001;;"{""consentimentos"": {""consultaCrea"": true, ""termos"": true, ""visibilidade"": true, ""avisos"": true}, ""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 031947/D"", ""cadastroEm"": ""04/09/2026"", ""perfilDemonstracao"": true}"
u-emp-demo;empresa;Daniel Tec;contato@danieltec.com.br;12.345.678/0001-99;987654321;AM;;AM-2345;Engenharia e montagem industrial;Ativa;Manaus, AM;A Daniel Tec atua em montagem industrial, instalações elétricas e obras de infraestrutura no Amazonas. Trabalha com equipes próprias e contrata profissionais registrados para projeto, laudo e fiscalização.;sim;;nao;sim;;;"{""razaoSocial"": ""Daniel Tec Engenharia e Montagem LTDA"", ""responsavelTecnico"": ""Daniel Silva do Carmo"", ""consentimentos"": {""consultaCrea"": true, ""termos"": true, ""visibilidade"": true, ""avisos"": true}, ""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 987654321"", ""cadastroEm"": ""02/09/2026"", ""perfilDemonstracao"": true, ""areasAtuacao"": [""Montagem industrial"", ""Instalações elétricas"", ""Estrutura metálica"", ""SPDA"", ""Infraestrutura""], ""logotipo"": ""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHZpZXdCb3g9IjAgMCA5NiA5NiI+PHJlY3Qgd2lkdGg9Ijk2IiBoZWlnaHQ9Ijk2IiByeD0iMjAiIGZpbGw9IiMxZTNhOGEiLz48cGF0aCBkPSJNMjAgNzAgTDQ4IDIyIEw3NiA3MCBaIiBmaWxsPSJub25lIiBzdHJva2U9IiM5M2M1ZmQiIHN0cm9rZS13aWR0aD0iNiIgc3Ryb2tlLWxpbmVqb2luPSJyb3VuZCIvPjx0ZXh0IHg9IjQ4IiB5PSI2NCIgdGV4dC1hbmNob3I9Im1pZGRsZSIgZm9udC1mYW1pbHk9IkFyaWFsIiBmb250LXdlaWdodD0iNzAwIiBmb250LXNpemU9IjIyIiBmaWxsPSIjZmZmIj5EVDwvdGV4dD48L3N2Zz4=""}"
u-admin-demo;admin;Administração Crea-AM;admin@crea-am.org.br;;;;;;Perfil administrador;;Manaus, AM;;sim;;nao;sim;;;"{""consentimentos"": {""termos"": true}, ""situacaoConta"": ""Verificado"", ""registroExibicao"": ""—"", ""cadastroEm"": ""01/08/2026"", ""perfilDemonstracao"": true}"
emp-ts;empresa;TechSolut Engenharia;contato@techsolut.exemplo.com;70.271.861/0001-90;;AM;;;Empresa de elétrica;Ativa;Manaus, AM;TechSolut Engenharia atua em elétrica na região de Manaus e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-05-18 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 645825471"", ""cadastroEm"": ""03/08/2026"", ""areasAtuacao"": [""Elétrica""], ""telefone"": ""(92) 3294-3221"", ""perfilDemonstracao"": true}"
emp-ve;empresa;Verde Engenharia;contato@verde.exemplo.com;14.706.755/0001-10;;AM;;;Empresa de ambiental;Ativa;Manaus, AM;Verde Engenharia atua em ambiental na região de Manaus e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-05-18 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 228791597"", ""cadastroEm"": ""05/07/2026"", ""areasAtuacao"": [""Ambiental""], ""telefone"": ""(92) 3708-9814"", ""perfilDemonstracao"": true}"
emp-ca;empresa;Construtora Alfa;contato@construtora.exemplo.com;16.768.259/0001-17;;AM;;;Empresa de estrutural;Ativa;Itacoatiara, AM;Construtora Alfa atua em estrutural na região de Itacoatiara e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-06-07 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 437233508"", ""cadastroEm"": ""02/06/2026"", ""areasAtuacao"": [""Estrutural"", ""Ambiental""], ""telefone"": ""(92) 3935-5403"", ""perfilDemonstracao"": true}"
emp-np;empresa;Norte Projetos;contato@norte.exemplo.com;26.436.628/0001-28;;AM;;;Empresa de bim;Ativa;Parintins, AM;Norte Projetos atua em bim na região de Parintins e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-04-19 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 373590710"", ""cadastroEm"": ""18/08/2026"", ""areasAtuacao"": [""BIM"", ""Geotecnia""], ""telefone"": ""(92) 3221-7457"", ""perfilDemonstracao"": true}"
emp-pi;contratante;Prefeitura de Iranduba;contato@prefeitura.exemplo.com;08.242.204/0001-40;;AM;;;Contratante;;Iranduba, AM;Prefeitura de Iranduba atua em hidráulica na região de Iranduba e contrata profissionais registrados pelo ProLink.;nao;;nao;sim;;2026-04-13 09:00:00;"{""situacaoConta"": ""Sem registro"", ""registroExibicao"": ""—"", ""cadastroEm"": ""01/08/2026"", ""areasAtuacao"": [""Hidráulica""], ""telefone"": ""(92) 3911-2848"", ""perfilDemonstracao"": true}"
emp-rn;empresa;Rio Negro Construções;contato@rio.exemplo.com;95.060.188/0001-70;;AM;;;Empresa de estrutural;Ativa;Manaus, AM;Rio Negro Construções atua em estrutural na região de Manaus e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-07-22 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 275167902"", ""cadastroEm"": ""17/04/2026"", ""areasAtuacao"": [""Estrutural""], ""telefone"": ""(92) 3808-0413"", ""perfilDemonstracao"": true}"
emp-ae;empresa;Amazônia Estruturas Metálicas;contato@amazônia.exemplo.com;80.133.252/0001-28;;AM;;;Empresa de estrutural;Ativa;Manaus, AM;Amazônia Estruturas Metálicas atua em estrutural na região de Manaus e contrata profissionais registrados pelo ProLink.;sim;;nao;sim;;2026-06-19 09:00:00;"{""situacaoConta"": ""Verificado"", ""registroExibicao"": ""CREA-AM 695758666"", ""cadastroEm"": ""15/03/2026"", ""areasAtuacao"": [""Estrutural"", ""Mecânica""], ""telefone"": ""(92) 3223-7578"", ""perfilDemonstracao"": true}"
