id;protocolo;titulo;alvo;denunciante;motivo;situacao;recebida;decisao;fundamento;decididaEm;criadoEm
den-1;2026/0341;Informação profissional enganosa;Otávio Castro Silva;Daniel Silva do Carmo;O perfil descreve experiência em obra que não consta no acervo técnico.;Na fila;recebida há 2 dias;;;;2026-09-20 09:00:00
den-2;2026/0338;Exigência possivelmente discriminatória;Demanda 2026/148;Paula Menezes;O texto da demanda restringe candidatos por faixa etária.;Na fila;recebida ontem;;;;2026-09-19 09:00:00
den-3;2026/0335;Contato fora da plataforma com pressão;Fábio Soares Teixeira;Verde Engenharia;O denunciante relata insistência para fechar contrato sem registro.;Na fila;recebida hoje;;;;2026-09-18 09:00:00
den-4;2026/0332;Documento de terceiro no portfólio;Demanda 2026/140;Vanessa Teixeira Dias;Foto de obra atribuída a outra empresa no portfólio.;Na fila;recebida há 3 dias;;;;2026-09-17 09:00:00
den-5;2026/0329;Demanda com valor incompatível;Pedro Santana Freitas;Climatiza Norte;Valor anunciado muito abaixo do mínimo praticado para o serviço.;Decidida;;Conteúdo mantido;Analisado pela equipe do Crea-AM conforme os termos de uso.;18/09/2026;2026-09-16 09:00:00
den-6;2026/0326;Avaliação ofensiva;Demanda 2026/120;Norte Projetos;Comentário com linguagem ofensiva em avaliação recebida.;Decidida;;Conteúdo mantido;Analisado pela equipe do Crea-AM conforme os termos de uso.;10/09/2026;2026-09-15 09:00:00
den-7;2026/0323;Perfil duplicado;Paula Barbosa Dias;Vanessa Teixeira Dias;Duas contas com o mesmo nome e registro.;Decidida;;Conteúdo removido;Analisado pela equipe do Crea-AM conforme os termos de uso.;05/09/2026;2026-09-14 09:00:00
den-8;2026/0320;Anúncio de serviço sem registro;Demanda 2026/164;Porto Velho Engenharia;Demanda pede assinatura de ART por quem não tem registro.;Decidida;;Conteúdo removido;Analisado pela equipe do Crea-AM conforme os termos de uso.;20/09/2026;2026-09-13 09:00:00
den-9;2026/0344;Registro profissional divergente;Paula Menezes;TechSolut Engenharia;O número de registro informado no perfil não corresponde ao nome na consulta pública do Crea.;Na fila;recebida hoje;;;;2026-09-25 08:00:00
den-10;2026/0346;ART assinada fora da atribuição;Raquel Souza Castro;Construtora Alfa;Profissional se apresenta para projeto elétrico, mas a atribuição dele é só civil.;Na fila;recebida hoje;;;;2026-09-25 11:17:00
den-11;2026/0348;Demanda sem responsável técnico;Demanda 2026/131 · Drenagem urbana;Camila Ribeiro Oliveira;A demanda pede execução de obra sem prever responsável técnico com registro ativo.;Na fila;recebida ontem;;;;2026-09-25 14:34:00
