id;nome;iniciais;cor;titulo;registro;rnp;cidade;uf;nota;avaliacoes;verificado;atendeEstado;areas;acervoPorArea;competencias;acervo;resumo
prof-001;Daniel Silva do Carmo;DC;avatar-roxo;Engenheiro civil;CREA-AM 031947/D;2618479301;Manaus;AM;4.5;23;sim;sim;"[""Estrutural"", ""Hidráulica"", ""Elétrica"", ""BIM""]";"{""Estrutural"": 5, ""Hidráulica"": 1, ""Elétrica"": 1, ""BIM"": 1}";"[""Cálculo estrutural"", ""Concreto armado"", ""Fundações profundas"", ""Laudos técnicos"", ""Reforço estrutural"", ""BIM · Revit Structure""]";"[{""tipo"": ""ART"", ""numero"": ""2026/123456"", ""atividade"": ""Projeto estrutural residencial de 18 pavimentos"", ""area"": ""Estrutural""}, {""tipo"": ""ART"", ""numero"": ""2026/123455"", ""atividade"": ""Laudo técnico estrutural de galpão"", ""area"": ""Estrutural""}, {""tipo"": ""ART"", ""numero"": ""2025/118320"", ""atividade"": ""Projeto de reforço de estrutura de concreto"", ""area"": ""Estrutural""}, {""tipo"": ""CAT"", ""numero"": ""2025/0881"", ""atividade"": ""Execução de fundação profunda"", ""area"": ""Estrutural""}, {""tipo"": ""ART"", ""numero"": ""2025/104877"", ""atividade"": ""Fiscalização de obra vertical"", ""area"": ""Estrutural""}, {""tipo"": ""ART"", ""numero"": ""2026/123454"", ""atividade"": ""Instalações hidráulicas prediais"", ""area"": ""Hidráulica""}, {""tipo"": ""ART"", ""numero"": ""2026/123451"", ""atividade"": ""Projeto elétrico e SPDA de indústria"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2024/087612"", ""atividade"": ""Modelagem BIM estrutural e compatibilização"", ""area"": ""BIM""}]";Engenheiro civil (UFAM, 2018), pós-graduado em estruturas de concreto. Oito anos em projeto estrutural, laudos e fiscalização de obras verticais em Manaus, com 8 documentos confirmados no Crea.
prof-002;Ana Beatriz Farias;AB;avatar-roxo;Engenheira eletricista;CREA-AM 028114/D;;Manaus;AM;4.9;31;sim;nao;"[""Elétrica""]";"{""Elétrica"": 5}";"[""SPDA"", ""Projeto elétrico"", ""Subestação""]";"[{""tipo"": ""ART"", ""numero"": ""2026/118802"", ""atividade"": ""Projeto elétrico de galpão industrial"", ""area"": ""Elétrica""}, {""tipo"": ""ART"", ""numero"": ""2025/097310"", ""atividade"": ""SPDA de centro de distribuição"", ""area"": ""Elétrica""}, {""tipo"": ""CAT"", ""numero"": ""2025/0712"", ""atividade"": ""Subestação abrigada de 500 kVA"", ""area"": ""Elétrica""}]";Projeto elétrico industrial e SPDA. Complementa projeto estrutural em obras que exigem as duas disciplinas.
prof-003;Lucas Martins;LM;avatar-verde;Engenheiro ambiental;CREA-AM 034720/D;;Manaus;AM;4.6;12;sim;nao;"[""Ambiental""]";"{""Ambiental"": 3}";"[""Licenciamento"", ""Estudos de impacto""]";"[{""tipo"": ""ART"", ""numero"": ""2026/104455"", ""atividade"": ""Licenciamento ambiental de porto fluvial"", ""area"": ""Ambiental""}, {""tipo"": ""CAT"", ""numero"": ""2024/0533"", ""atividade"": ""Estudo de impacto de loteamento"", ""area"": ""Ambiental""}]";Licenciamento ambiental na região metropolitana, com histórico em empreendimentos às margens de corpos d'água.
prof-004;Rafael Souza;RS;avatar-ambar;Engenheiro mecânico;Registro em regularização;;Manaus;AM;4.2;5;nao;nao;"[""Mecânica""]";"{""Mecânica"": 1}";"[""Tubulação"", ""Montagem industrial""]";"[{""tipo"": ""ART"", ""numero"": ""2025/088120"", ""atividade"": ""Montagem de tubulação industrial"", ""area"": ""Mecânica""}]";Montagem industrial e tubulação. O Crea ainda não confirmou este registro.
prof-005;Paula Menezes;PM;avatar-ambar;Engenheira agrônoma;CREA-AM 041288/D;;Itacoatiara;AM;4.7;9;sim;nao;"[""Agronomia""]";"{""Agronomia"": 2}";"[""Irrigação"", ""Manejo de solo""]";"[{""tipo"": ""ART"", ""numero"": ""2026/101874"", ""atividade"": ""Projeto de irrigação por gotejamento"", ""area"": ""Agronomia""}, {""tipo"": ""CAT"", ""numero"": ""2025/0402"", ""atividade"": ""Recuperação de solo degradado"", ""area"": ""Agronomia""}]";Projetos de irrigação e manejo de solo no interior do estado.
prof-006;Vanessa Teixeira Dias;VD;avatar-ambar;Engenheira ambiental;CREA-RO 045262/D;2638601278;Porto Velho;RO;4.0;9;sim;sim;"[""Ambiental""]";"{""Ambiental"": 5}";"[""Monitoramento ambiental"", ""Recuperação de áreas degradadas"", ""Licenciamento""]";"[{""tipo"": ""ART"", ""numero"": ""2025/130567"", ""atividade"": ""Outorga de captação de água"", ""area"": ""Ambiental""}, {""tipo"": ""CAT"", ""numero"": ""2023/5025"", ""atividade"": ""Licenciamento ambiental de porto fluvial"", ""area"": ""Ambiental""}, {""tipo"": ""ART"", ""numero"": ""2024/131145"", ""atividade"": ""Recuperação de área degradada"", ""area"": ""Ambiental""}, {""tipo"": ""ART"", ""numero"": ""2025/131163"", ""atividade"": ""Estudo de impacto de loteamento"", ""area"": ""Ambiental""}, {""tipo"": ""ART"", ""numero"": ""2024/131576"", ""atividade"": ""Plano de gerenciamento de resíduos"", ""area"": ""Ambiental""}]";Engenheira ambiental com atuação em monitoramento ambiental e recuperação de áreas degradadas. 5 documentos confirmados no Crea.
prof-007;Fábio Oliveira Barbosa;FB;avatar-ambar;Engenheiro mecânico;CREA-AM 045758/D;2675134554;Manaus;AM;4.7;15;sim;sim;"[""Mecânica"", ""Ambiental""]";"{""Mecânica"": 5, ""Ambiental"": 2}";"[""Sistemas de combate a incêndio"", ""Montagem industrial"", ""Monitoramento ambiental""]";"[{""tipo"": ""ART"", ""numero"": ""2025/132150"", ""atividade"": ""Sistema de combate a incêndio"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2026/132675"", ""atividade"": ""Sistema de combate a incêndio"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2024/133219"", ""atividade"": ""Plano de manutenção industrial"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2026/133716"", ""atividade"": ""Projeto de climatização de hospital"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2023/134312"", ""atividade"": ""Projeto de climatização de hospital"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2022/134854"", ""atividade"": ""Recuperação de área degradada"", ""area"": ""Ambiental""}, {""tipo"": ""ART"", ""numero"": ""2023/135342"", ""atividade"": ""Estudo de impacto de loteamento"", ""area"": ""Ambiental""}]";Engenheiro mecânico com atuação em sistemas de combate a incêndio e montagem industrial. 7 documentos confirmados no Crea.
prof-008;Thiago Teixeira Souza;TS;avatar-ambar;Engenheiro agrônomo;CREA-AM 043762/D;2660789987;Manaus;AM;4.7;15;sim;nao;"[""Agronomia"", ""Hidráulica""]";"{""Agronomia"": 2, ""Hidráulica"": 1}";"[""Irrigação"", ""Receituário agronômico"", ""Manejo de solo"", ""Georreferenciamento rural"", ""Saneamento""]";"[{""tipo"": ""ART"", ""numero"": ""2026/136020"", ""atividade"": ""Implantação de sistema agroflorestal"", ""area"": ""Agronomia""}, {""tipo"": ""CAT"", ""numero"": ""2023/1395"", ""atividade"": ""Implantação de sistema agroflorestal"", ""area"": ""Agronomia""}, {""tipo"": ""ART"", ""numero"": ""2025/136925"", ""atividade"": ""Fiscalização de obra de saneamento"", ""area"": ""Hidráulica""}]";Engenheiro agrônomo com atuação em irrigação e receituário agronômico. 3 documentos confirmados no Crea.
prof-009;Raquel Souza Castro;RC;avatar-ambar;Geóloga;CREA-AM 018870/D;2668142594;Iranduba;AM;4.1;31;sim;sim;"[""Geotecnia""]";"{""Geotecnia"": 6}";"[""Estabilidade de taludes"", ""Contenções"", ""Sondagem"", ""Hidrogeologia""]";"[{""tipo"": ""CAT"", ""numero"": ""2025/2809"", ""atividade"": ""Sondagem SPT para edifício"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2022/137910"", ""atividade"": ""Sondagem SPT para edifício"", ""area"": ""Geotecnia""}, {""tipo"": ""CAT"", ""numero"": ""2023/3541"", ""atividade"": ""Sondagem SPT para edifício"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2026/139317"", ""atividade"": ""Projeto de contenção em encosta"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2022/139482"", ""atividade"": ""Investigação geotécnica de terreno"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2023/140195"", ""atividade"": ""Investigação geotécnica de terreno"", ""area"": ""Geotecnia""}]";Geóloga com atuação em estabilidade de taludes e contenções. 6 documentos confirmados no Crea.
prof-010;Sérgio Lopes Ribeiro;SR;;Engenheiro civil;Registro em regularização;;Manacapuru;AM;4.9;1;nao;sim;"[""Estrutural""]";{};"[""Reforço estrutural"", ""Fiscalização de obra""]";[];Engenheiro civil com atuação em reforço estrutural e fiscalização de obra. Acervo ainda em formação.
prof-011;Caio Oliveira Silva;CS;avatar-roxo;Engenheiro mecânico;Registro em regularização;;Coari;AM;0;0;nao;nao;"[""Mecânica""]";{};"[""Manutenção industrial"", ""Tubulação industrial"", ""Sistemas de combate a incêndio"", ""Vasos de pressão (NR-13)""]";[];Engenheiro mecânico com atuação em manutenção industrial e tubulação industrial. Acervo ainda em formação.
prof-012;Henrique Castro Rocha;HR;avatar-roxo;Engenheiro civil;CREA-AM 022190/D;2636615522;Manaus;AM;4.1;2;sim;sim;"[""Estrutural"", ""Hidráulica""]";"{""Estrutural"": 1}";"[""Fundações profundas"", ""Alvenaria estrutural"", ""Hidrossanitário predial""]";"[{""tipo"": ""ART"", ""numero"": ""2023/140664"", ""atividade"": ""Fiscalização de obra vertical"", ""area"": ""Estrutural""}]";Engenheiro civil com atuação em fundações profundas e alvenaria estrutural. 1 documentos confirmados no Crea.
prof-013;Camila Ribeiro Oliveira;CO;avatar-verde;Engenheira sanitarista;CREA-AM 047227/D;2676481961;Tefé;AM;4.5;6;sim;sim;"[""Hidráulica"", ""Ambiental""]";"{""Hidráulica"": 4, ""Ambiental"": 2}";"[""Esgotamento sanitário"", ""Hidrossanitário predial"", ""Redes de água"", ""Saneamento"", ""Recuperação de áreas degradadas""]";"[{""tipo"": ""CAT"", ""numero"": ""2025/5965"", ""atividade"": ""Fiscalização de obra de saneamento"", ""area"": ""Hidráulica""}, {""tipo"": ""CAT"", ""numero"": ""2025/6465"", ""atividade"": ""Fiscalização de obra de saneamento"", ""area"": ""Hidráulica""}, {""tipo"": ""ART"", ""numero"": ""2024/142287"", ""atividade"": ""Estação de tratamento de esgoto"", ""area"": ""Hidráulica""}, {""tipo"": ""ART"", ""numero"": ""2022/142530"", ""atividade"": ""Projeto hidrossanitário predial"", ""area"": ""Hidráulica""}, {""tipo"": ""ART"", ""numero"": ""2025/142875"", ""atividade"": ""Estudo de impacto de loteamento"", ""area"": ""Ambiental""}, {""tipo"": ""ART"", ""numero"": ""2024/142909"", ""atividade"": ""Plano de gerenciamento de resíduos"", ""area"": ""Ambiental""}]";Engenheira sanitarista com atuação em esgotamento sanitário e hidrossanitário predial. 6 documentos confirmados no Crea.
prof-014;Yasmin Ferreira Dias;YD;avatar-ambar;Geóloga;CREA-AM 036977/D;2655637040;Manaus;AM;0;0;sim;nao;"[""Geotecnia"", ""Ambiental""]";"{""Geotecnia"": 1, ""Ambiental"": 2}";"[""Contenções"", ""Hidrogeologia"", ""Licenciamento""]";"[{""tipo"": ""ART"", ""numero"": ""2024/143693"", ""atividade"": ""Estudo de estabilidade de talude"", ""area"": ""Geotecnia""}, {""tipo"": ""ART"", ""numero"": ""2022/144345"", ""atividade"": ""Plano de gerenciamento de resíduos"", ""area"": ""Ambiental""}, {""tipo"": ""CAT"", ""numero"": ""2022/0954"", ""atividade"": ""Plano de gerenciamento de resíduos"", ""area"": ""Ambiental""}]";Geóloga com atuação em contenções e hidrogeologia. 3 documentos confirmados no Crea.
prof-015;Isabela Barbosa Oliveira;IO;avatar-roxo;Engenheira eletricista;Registro em regularização;;Boa Vista;RR;0;0;nao;sim;"[""Elétrica"", ""Mecânica""]";{};"[""Subestação"", ""Automação predial"", ""Eficiência energética"", ""Sistemas de combate a incêndio""]";[];Engenheira eletricista com atuação em subestação e automação predial. Acervo ainda em formação.
prof-016;Sabrina Santos Farias;SF;;Engenheira mecânica;CREA-AM 020624/D;2615875669;Manaus;AM;0;0;sim;sim;"[""Mecânica""]";"{""Mecânica"": 3}";"[""Vasos de pressão (NR-13)"", ""Tubulação industrial"", ""Climatização"", ""Sistemas de combate a incêndio""]";"[{""tipo"": ""ART"", ""numero"": ""2025/145020"", ""atividade"": ""Montagem de tubulação industrial"", ""area"": ""Mecânica""}, {""tipo"": ""CAT"", ""numero"": ""2024/1738"", ""atividade"": ""Projeto de climatização de hospital"", ""area"": ""Mecânica""}, {""tipo"": ""ART"", ""numero"": ""2025/146049"", ""atividade"": ""Projeto de climatização de hospital"", ""area"": ""Mecânica""}]";Engenheira mecânica com atuação em vasos de pressão (nr-13) e tubulação industrial. 3 documentos confirmados no Crea.
prof-017;Wagner Oliveira Barbosa;WB;avatar-ambar;Engenheiro agrônomo;CREA-AM 043688/D;2645729726;Iranduba;AM;3.9;18;sim;nao;"[""Agronomia""]";"{""Agronomia"": 4}";"[""Manejo de solo"", ""Irrigação"", ""Georreferenciamento rural""]";"[{""tipo"": ""ART"", ""numero"": ""2025/146301"", ""atividade"": ""Georreferenciamento de imóvel rural"", ""area"": ""Agronomia""}, {""tipo"": ""CAT"", ""numero"": ""2026/2495"", ""atividade"": ""Implantação de sistema agroflorestal"", ""area"": ""Agronomia""}, {""tipo"": ""CAT"", ""numero"": ""2023/2763"", ""atividade"": ""Projeto de irrigação de fruticultura"", ""area"": ""Agronomia""}, {""tipo"": ""ART"", ""numero"": ""2026/147053"", ""atividade"": ""Plano de manejo de solo"", ""area"": ""Agronomia""}]";Engenheiro agrônomo com atuação em manejo de solo e irrigação. 4 documentos confirmados no Crea.
prof-018;Leonardo Carvalho Almeida;LA;avatar-roxo;Engenheiro ambiental;CREA-AM 045965/D;2690382673;Manaus;AM;4.6;15;sim;nao;"[""Ambiental""]";"{""Ambiental"": 2}";"[""Estudos de impacto"", ""Outorga de água"", ""Recuperação de áreas degradadas""]";"[{""tipo"": ""ART"", ""numero"": ""2025/147823"", ""atividade"": ""Plano de gerenciamento de resíduos"", ""area"": ""Ambiental""}, {""tipo"": ""ART"", ""numero"": ""2023/148639"", ""atividade"": ""Plano de gerenciamento de resíduos"", ""area"": ""Ambiental""}]";Engenheiro ambiental com atuação em estudos de impacto e outorga de água. 2 documentos confirmados no Crea.
prof-019;Carolina Santana Freitas;CF;avatar-roxo;Engenheira civil;CREA-AM 019299/D;2644776368;Iranduba;AM;0;0;sim;nao;"[""BIM""]";"{""BIM"": 5}";"[""Planejamento de obra"", ""Compatibilização de projetos"", ""Revit"", ""Modelagem BIM""]";"[{""tipo"": ""ART"", ""numero"": ""2025/149365"", ""atividade"": ""Modelagem BIM de edifício comercial"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2024/149458"", ""atividade"": ""Orçamento de obra pública"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2022/149606"", ""atividade"": ""Compatibilização de hospital em BIM"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2023/150159"", ""atividade"": ""Orçamento de obra pública"", ""area"": ""BIM""}, {""tipo"": ""ART"", ""numero"": ""2022/150752"", ""atividade"": ""Planejamento 4D de obra"", ""area"": ""BIM""}]";Engenheira civil com atuação em planejamento de obra e compatibilização de projetos. 5 documentos confirmados no Crea.
